key,name,code,description,retail-price,info
ingredient-01,Flour,FL:OUR-432,"It is a powder made by grinding raw grains, roots, beans, nuts, or seeds.",EUR 5.0,"https://en.wikipedia.org/wiki/Flour"
ingredient-02,Eggs,AA:AAA-111,"They are laid by female animals of many different species, including birds, reptiles, amphibians, a few mammals, and fish, and many of these have been eaten by humans for thousands of years.",EUR 1.0,"https://en.wikipedia.org/wiki/Egg_as_food"
ingredient-03,Sugar,SU:GAR-883,"It is the generic name for sweet-tasting, soluble carbohydrates, many of which are used in food.",EUR 6.0,"https://en.wikipedia.org/wiki/Sugar"
ingredient-04,Milk,AA:AAA-112,"It is a nutrient-rich liquid food produced by the mammary glands of mammals.",EUR 10.0,"https://en.wikipedia.org/wiki/Milk"
ingredient-05,Olive oil,OL:OIL-764,"is a liquid fat obtained from olives, a traditional tree crop of the Mediterranean Basin, produced by pressing whole olives and extracting the oil.",EUR 8.5,"https://en.wikipedia.org/wiki/Olive_oil"
ingredient-06,Spice,SP:ICE-928,"It is a seed, fruit, root, bark, or other plant substance primarily used for flavoring or coloring food.",EUR 0.1,"https://en.wikipedia.org/wiki/Spice"
ingredient-07,Butter,AA:AAA-113,"It is a dairy product made from the fat and protein components of churned cream.",EUR 9.3,"https://en.wikipedia.org/wiki/Butter"
ingredient-08,Salt,AA:AAA-114,"It is a mineral composed primarily of sodium chloride (NaCl).",EUR 3.0,"https://en.wikipedia.org/wiki/Salt"
ingredient-09,Chicken,AA:AAA-115,"It is a domesticated junglefowl species.",EUR 15.7,"https://en.wikipedia.org/wiki/Chicken"
ingredient-10,Rice,AA:AAA-116,"It is the seed of the grass species Oryza sativa (Asian rice) or less commonly Oryza glaberrima (African rice).",EUR 4.6,"https://en.wikipedia.org/wiki/Rice"
ingredient-11,Pork,AA:AAA-117,"It is the culinary name for the meat of the domestic pig.",EUR 13.6,"https://en.wikipedia.org/wiki/Pork"
ingredient-12,Beef,AA:AAA-118,"It is the culinary name for meat from cattle.",EUR 17.5,"https://en.wikipedia.org/wiki/Beef"
ingredient-13,Cheese,PH:OTO-333,"It is a dairy product produced in wide ranges of flavors, textures, and forms by coagulation of the milk protein casein.",EUR 12.2,"https://en.wikipedia.org/wiki/Cheese"
ingredient-14,Garlic,AA:AAA-119,"It is a species of bulbous flowering plant in the genus Allium.",EUR 2.1,"https://en.wikipedia.org/wiki/Garlic"
ingredient-15,Onion,ON:ION-653,"It is a vegetable that is the most widely cultivated species of the genus Allium.",EUR 2.2,"https://en.wikipedia.org/wiki/Onion"
ingredient-16,Corn,AA:AAA-120,"It is a cereal grain first domesticated by indigenous peoples in southern Mexico about 10,000 years ago.",EUR 4.8,"https://en.wikipedia.org/wiki/Maize"
